handle,title,sku,product_type,current_price,cost_recorded,product_url
lab-diamond-pear-tennis-bracelet-8-61ct-bc14wtsps850pew,Lab Grown Pear Diamond Tennis Bracelet – 8.61 CT | 14K White Gold,BC14WTSPS850PEW,Bracelet,7950.00,,https://lauramilman.com/products/lab-diamond-pear-tennis-bracelet-8-61ct-bc14wtsps850pew
lab-diamond-tennis-bracelet-round-1-53ct-bc14wtsrd150p,Lab Grown Round Brilliant Diamond Tennis Bracelet – 1.53 CT | 14K White Gold,BC14WTSRD150P,Tennis Bracelet,3450.00,,https://lauramilman.com/products/lab-diamond-tennis-bracelet-round-1-53ct-bc14wtsrd150p
lab-diamond-tennis-bracelet-round-1-92ct-bc14wtsrd175p,Lab Grown Round Brilliant Diamond Tennis Bracelet – 1.92 CT | 14K White Gold,BC14WTSRD175P,Tennis Bracelet,3450.00,,https://lauramilman.com/products/lab-diamond-tennis-bracelet-round-1-92ct-bc14wtsrd175p
lab-grown-round-diamond-tennis-bracelet-054-ct-14k-white-gold-bc4494a,Lab Grown Round Diamond Tennis Bracelet – 0.54 CT | 14K White Gold,BC14WTSRD50P,Bracelet,600.00,,https://lauramilman.com/products/lab-grown-round-diamond-tennis-bracelet-054-ct-14k-white-gold-bc4494a
lab-diamond-tennis-bracelet-round-5-8ct-bc14wtsrd550p,Lab Grown Round Brilliant Diamond Tennis Bracelet – 5.80 CT | 14K White Gold,BC14WTSRD550P,Tennis Bracelet,6150.00,,https://lauramilman.com/products/lab-diamond-tennis-bracelet-round-5-8ct-bc14wtsrd550p
lab-diamond-marquise-bangles-bracelet-4-29ct-bc14ybgmq400bew,Lab Grown Marquise Diamond Bangle Bracelet – 4.29 CT | 14K Yellow Gold,BC14YBGMQ400BEW,Bracelet,9600.00,,https://lauramilman.com/products/lab-diamond-marquise-bangles-bracelet-4-29ct-bc14ybgmq400bew
lab-grown-round-diamond-station-bracelet-065-ct-14k-yellow-gold-bc2423,Lab Grown Round Diamond Station Bracelet – 0.65 CT | 14K Yellow Gold,BC14YSTRD60B,Bracelet,1200.00,,https://lauramilman.com/products/lab-grown-round-diamond-station-bracelet-065-ct-14k-yellow-gold-bc2423
lab-diamond-tennis-bracelet-marquise-3-7ct-bc14ytsmq350bagbpew,Lab Grown Marquise Diamond Tennis Bracelet – 3.70 CT | 14K Yellow Gold,BC14YTSMQ350BAGBPEW,Tennis Bracelet,4800.00,,https://lauramilman.com/products/lab-diamond-tennis-bracelet-marquise-3-7ct-bc14ytsmq350bagbpew
lab-diamond-pear-tennis-bracelet-5-8ct-bc14ytsps550rdpin,Lab Grown Pear Diamond Tennis Bracelet – 5.8 CT | 14K Yellow Gold,BC14YTSPS550RDPIN,Bracelet,7200.00,,https://lauramilman.com/products/lab-diamond-pear-tennis-bracelet-5-8ct-bc14ytsps550rdpin
lab-grown-pear-diamond-drop-earrings-056-ct-14k-two-tone-er10454,Lab Grown Pear Diamond Drop Earrings – 0.56 CT | 14K Two Tone,ER14TTHNPS50PNS,Earring,1200.00,,https://lauramilman.com/products/lab-grown-pear-diamond-drop-earrings-056-ct-14k-two-tone-er10454
lab-grown-round-diamond-huggie-earrings-189-ct-14k-white-gold-er11896,Lab Grown Round Diamond Huggie Earrings – 1.89 CT | 14K White Gold,ER14WHGRD175P,Earring,2400.00,,https://lauramilman.com/products/lab-grown-round-diamond-huggie-earrings-189-ct-14k-white-gold-er11896
lab-grown-emerald-diamond-huggie-earrings-037-ct-14k-white-gold-er17793,Lab Grown Emerald Diamond Huggie Earrings – 0.37 CT | 14K White Gold,ER14WHGRD25POT,Earring,1200.00,,https://lauramilman.com/products/lab-grown-emerald-diamond-huggie-earrings-037-ct-14k-white-gold-er17793
lab-grown-round-diamond-huggie-earrings-041-ct-14k-white-gold-er12533,Lab Grown Round Diamond Huggie Earrings – 0.41 CT | 14K White Gold,ER14WHGRD40HB,Earring,2550.00,,https://lauramilman.com/products/lab-grown-round-diamond-huggie-earrings-041-ct-14k-white-gold-er12533
lab-grown-round-diamond-hoop-earrings-103-ct-14k-white-gold-er8771,Lab Grown Round Diamond Hoop Earrings – 1.03 CT | 14K White Gold,ER14WHPRD100P,Earring,2250.00,,https://lauramilman.com/products/lab-grown-round-diamond-hoop-earrings-103-ct-14k-white-gold-er8771
lab-grown-round-diamond-hoop-earrings-434-ct-14k-white-gold-er17745,Lab Grown Round Diamond Hoop Earrings – 4.34 CT | 14K White Gold,ER14WHPRD400P_,Earring,4200.00,,https://lauramilman.com/products/lab-grown-round-diamond-hoop-earrings-434-ct-14k-white-gold-er17745
lab-grown-emerald-diamond-toi-et-moi-earrings-177-ct-14k-white-gold-er7618,Lab Grown Emerald Diamond Toi et Moi Earrings – 1.77 CT | 14K White Gold,ER14WSD175P,Earring,1950.00,,https://lauramilman.com/products/lab-grown-emerald-diamond-toi-et-moi-earrings-177-ct-14k-white-gold-er7618
lab-grown-marquise-diamond-stud-earrings-067-ct-14k-white-gold-er18519,Lab Grown Marquise Diamond Stud Earrings – 0.67 CT | 14K White Gold,ER14WSDMQ50RDP,Earring,1200.00,,https://lauramilman.com/products/lab-grown-marquise-diamond-stud-earrings-067-ct-14k-white-gold-er18519
lab-grown-round-diamond-c-hoop-earrings-287-ct-14k-yellow-gold-er1578,Lab Grown Round Diamond C Hoop Earrings – 2.87 CT | 14K Yellow Gold,ER14YCHPRD275B,Earring,3450.00,,https://lauramilman.com/products/lab-grown-round-diamond-c-hoop-earrings-287-ct-14k-yellow-gold-er1578
lab-grown-emerald-diamond-huggie-earrings-041-ct-14k-yellow-gold-er17790,Lab Grown Emerald Diamond Huggie Earrings – 0.41 CT | 14K Yellow Gold,ER14YHGEM25RDPOT,Earring,1200.00,,https://lauramilman.com/products/lab-grown-emerald-diamond-huggie-earrings-041-ct-14k-yellow-gold-er17790
lab-grown-round-diamond-huggie-earrings-1-ct-14k-yellow-gold-er12156,Lab Grown Round Diamond Huggie Earrings – 1 CT | 14K Yellow Gold,ER14YHGRD100B,Earring,2550.00,,https://lauramilman.com/products/lab-grown-round-diamond-huggie-earrings-1-ct-14k-yellow-gold-er12156
lab-grown-round-diamond-huggie-earrings-1-ct-14k-yellow-gold-er12395,Lab Grown Round Diamond Huggie Earrings – 1 CT | 14K Yellow Gold,ER14YHGRD100P,Earring,1500.00,,https://lauramilman.com/products/lab-grown-round-diamond-huggie-earrings-1-ct-14k-yellow-gold-er12395
lab-grown-round-diamond-huggie-earrings-126-ct-14k-yellow-gold-er12149,Lab Grown Round Diamond Huggie Earrings – 1.26 CT | 14K Yellow Gold,ER14YHGRD100PMNS,Earring,4050.00,,https://lauramilman.com/products/lab-grown-round-diamond-huggie-earrings-126-ct-14k-yellow-gold-er12149
lab-grown-round-diamond-huggie-earrings-201-ct-14k-yellow-gold-er7955,Lab Grown Round Diamond Huggie Earrings – 2.01 CT | 14K Yellow Gold,ER14YHGRD200B,Earring,2550.00,,https://lauramilman.com/products/lab-grown-round-diamond-huggie-earrings-201-ct-14k-yellow-gold-er7955
lab-grown-round-diamond-huggie-earrings-246-ct-14k-yellow-gold-er18392,Lab Grown Round Diamond Huggie Earrings – 2.46 CT | 14K Yellow Gold,ER14YHGRD200POT,Earring,5850.00,,https://lauramilman.com/products/lab-grown-round-diamond-huggie-earrings-246-ct-14k-yellow-gold-er18392
lab-grown-round-diamond-huggie-earrings-387-ct-14k-yellow-gold-er8915,Lab Grown Round Diamond Huggie Earrings – 3.87 CT | 14K Yellow Gold,ER14YHGRD350P,Earring,3450.00,,https://lauramilman.com/products/lab-grown-round-diamond-huggie-earrings-387-ct-14k-yellow-gold-er8915
lab-grown-emerald-diamond-drop-earrings-108-ct-14k-yellow-gold-er16205,Lab Grown Emerald Diamond Drop Earrings – 1.08 CT | 14K Yellow Gold,ER14YHNEM100RDPNS,Earring,1200.00,,https://lauramilman.com/products/lab-grown-emerald-diamond-drop-earrings-108-ct-14k-yellow-gold-er16205
lab-grown-round-diamond-drop-earrings-314-ct-14k-yellow-gold-er12619,Lab Grown Round Diamond Drop Earrings – 3.14 CT | 14K Yellow Gold,ER14YHNRD300RDP,Earring,2250.00,,https://lauramilman.com/products/lab-grown-round-diamond-drop-earrings-314-ct-14k-yellow-gold-er12619
lab-grown-round-diamond-hoop-earrings-101-ct-14k-yellow-gold-er9257,Lab Grown Round Diamond Hoop Earrings – 1.01 CT | 14K Yellow Gold,ER14YHPRD100P,Earring,2250.00,,https://lauramilman.com/products/lab-grown-round-diamond-hoop-earrings-101-ct-14k-yellow-gold-er9257
lab-grown-round-diamond-hoop-earrings-278-ct-14k-yellow-gold-er7651,Lab Grown Round Diamond Hoop Earrings – 2.78 CT | 14K Yellow Gold,ER14YHPRD275P,Earring,3450.00,,https://lauramilman.com/products/lab-grown-round-diamond-hoop-earrings-278-ct-14k-yellow-gold-er7651
lab-grown-round-diamond-symbol-earrings-003-ct-18k-yellow-gold-er8398,Lab Grown Round Diamond Symbol Earrings – 0.03 CT | 18K Yellow Gold,ER18YSYRD5F,Earring,3150.00,,https://lauramilman.com/products/lab-grown-round-diamond-symbol-earrings-003-ct-18k-yellow-gold-er8398
lab-grown-round-diamond-hoop-earrings-201-ct-sterling-silver-er18711,Lab Grown Round Diamond Hoop Earrings – 2.01 CT | Sterling Silver,ERSLHPRD200P,Earring,1950.00,,https://lauramilman.com/products/lab-grown-round-diamond-hoop-earrings-201-ct-sterling-silver-er18711
lab-diamond-emerald-lariat-necklace-25-03ct-nk14wltem1550pns,Lab Grown Emerald Diamond Lariat Necklace – 25.03 CT | 14K White Gold,NK14WLTEM1550PNS,Necklace,24000.00,,https://lauramilman.com/products/lab-diamond-emerald-lariat-necklace-25-03ct-nk14wltem1550pns
lab-diamond-oval-riviera-necklace-15-21ct-nk14wrvov1500pspew,Lab Grown Oval Diamond Riviera Necklace – 15.21 CT | 14K White Gold,NK14WRVOV1500PSPEW,Necklace,15000.00,,https://lauramilman.com/products/lab-diamond-oval-riviera-necklace-15-21ct-nk14wrvov1500pspew
lab-diamond-round-riviera-necklace-5-07ct-nk14wrvrd500p,Lab Grown Round Diamond Riviera Necklace – 5.07 CT | 14K White Gold,NK14WRVRD500P,Necklace,9750.00,,https://lauramilman.com/products/lab-diamond-round-riviera-necklace-5-07ct-nk14wrvrd500p
lab-diamond-station-line-tennis-necklace-11-65ct-nk14wslt1150pew,Lab Grown Mixed Shape Diamond Tennis Necklace – 11.65 CT | 14K White Gold,NK14WSLT1150PEW,Necklace,13350.00,,https://lauramilman.com/products/lab-diamond-station-line-tennis-necklace-11-65ct-nk14wslt1150pew
lab-diamond-special-necklace-14-38ct-nk14wsp1400pns,Lab Grown Mixed Shape Diamond Statement Necklace – 14.38 CT | 14K White Gold,NK14WSP1400PNS,Necklace,14850.00,,https://lauramilman.com/products/lab-diamond-special-necklace-14-38ct-nk14wsp1400pns
lab-diamond-special-necklace-3-07ct-nk14wsp300pns,Lab Grown Mixed Shape Diamond Statement Necklace – 3.07 CT | 14K White Gold,NK14WSP300PNS,Necklace,5250.00,,https://lauramilman.com/products/lab-diamond-special-necklace-3-07ct-nk14wsp300pns
lab-diamond-special-necklace-7-5ct-nk14wsp750pns,Lab Grown Mixed Shape Diamond Statement Necklace – 7.5 CT | 14K White Gold,NK14WSP750PNS,Necklace,11250.00,,https://lauramilman.com/products/lab-diamond-special-necklace-7-5ct-nk14wsp750pns
lab-diamond-special-necklace-8-87ct-nk14wsp850pns,Lab Grown Mixed Shape Diamond Statement Necklace – 8.87 CT | 14K White Gold,NK14WSP850PNS,Necklace,9900.00,,https://lauramilman.com/products/lab-diamond-special-necklace-8-87ct-nk14wsp850pns
lab-diamond-special-necklace-9-33ct-nk14wsp900p,Lab Grown Mixed Shape Diamond Statement Necklace – 9.33 CT | 14K White Gold,NK14WSP900P,Necklace,10200.00,,https://lauramilman.com/products/lab-diamond-special-necklace-9-33ct-nk14wsp900p
lab-diamond-antique-cushion-special-necklace-7-05ct-nk14wspancu700rdpew,Lab Grown Antique Cushion Diamond Statement Necklace – 7.05 CT | 14K White Gold,NK14WSPANCU700RDPEW,Necklace,13350.00,,https://lauramilman.com/products/lab-diamond-antique-cushion-special-necklace-7-05ct-nk14wspancu700rdpew
lab-diamond-round-special-necklace-0-42ct-nk14wsprd25b,Lab Grown Round Diamond Statement Necklace – 0.42 CT | 14K White Gold,NK14WSPRD25B,Necklace,4650.00,,https://lauramilman.com/products/lab-diamond-round-special-necklace-0-42ct-nk14wsprd25b
lab-diamond-round-special-necklace-7-05ct-nk14wsprd700p,Lab Grown Round Diamond Statement Necklace – 7.05 CT | 14K White Gold,NK14WSPRD700P,Necklace,7200.00,,https://lauramilman.com/products/lab-diamond-round-special-necklace-7-05ct-nk14wsprd700p
lab-diamond-station-necklace-2-6ct-nk14wst250pns,Lab Grown Mixed Shape Diamond Station Necklace – 2.6 CT | 14K White Gold,NK14WST250PNS,Necklace,4200.00,,https://lauramilman.com/products/lab-diamond-station-necklace-2-6ct-nk14wst250pns
lab-diamond-marquise-station-necklace-8-37ct-nk14wst275bew,Lab Grown Marquise Diamond Station Necklace – 8.37 CT | 14K White Gold,NK14WST275BEW,Necklace,15300.00,,https://lauramilman.com/products/lab-diamond-marquise-station-necklace-8-37ct-nk14wst275bew
lab-diamond-station-necklace-4-14ct-nk14wst400pew,Lab Grown Mixed Shape Diamond Station Necklace – 4.14 CT | 14K White Gold,NK14WST400PEW,Necklace,5400.00,,https://lauramilman.com/products/lab-diamond-station-necklace-4-14ct-nk14wst400pew
lab-diamond-oval-station-necklace-5-13ct-nk14wst500p,Lab Grown Oval Diamond Station Necklace – 5.13 CT | 14K White Gold,NK14WST500P,Necklace,6450.00,,https://lauramilman.com/products/lab-diamond-oval-station-necklace-5-13ct-nk14wst500p
lab-diamond-oval-station-necklace-5-18ct-nk14wstov500p,Lab Grown Oval Diamond Station Necklace – 5.18 CT | 14K White Gold,NK14WSTOV500P,Necklace,6450.00,,https://lauramilman.com/products/lab-diamond-oval-station-necklace-5-18ct-nk14wstov500p
lab-diamond-round-station-necklace-1-02ct-nk14wstrd100b,Lab Grown Round Diamond Station Necklace – 1.02 CT | 14K White Gold,NK14WSTRD100B,Necklace,3450.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-1-02ct-nk14wstrd100b
lab-diamond-round-station-necklace-1-96ct-nk14wstrd175b,Lab Grown Round Diamond Station Necklace – 1.96 CT | 14K White Gold,NK14WSTRD175B,Necklace,3300.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-1-96ct-nk14wstrd175b
lab-diamond-round-station-necklace-2-96ct-nk14wstrd275p,Lab Grown Round Diamond Station Necklace – 2.96 CT | 14K White Gold,NK14WSTRD275P,Necklace,5550.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-2-96ct-nk14wstrd275p
lab-diamond-emerald-tennis-necklace-5-44ct-nk14wtsem550bew,Lab Grown Emerald Diamond Tennis Necklace – 5.44 CT | 14K White Gold,NK14WTSEM550BEW,Necklace,14850.00,,https://lauramilman.com/products/lab-diamond-emerald-tennis-necklace-5-44ct-nk14wtsem550bew
lab-diamond-oval-lariat-necklace-13-89ct-nk14wtsov1350pew,Lab Grown Oval Diamond Lariat Necklace – 13.89 CT | 14K White Gold,NK14WTSOV1350PEW,Necklace,14700.00,,https://lauramilman.com/products/lab-diamond-oval-lariat-necklace-13-89ct-nk14wtsov1350pew
lab-diamond-oval-lariat-necklace-14-37ct-nk14wtsov1400pew,Lab Grown Oval Diamond Lariat Necklace – 14.37 CT | 14K White Gold,NK14WTSOV1400PEW,Necklace,15600.00,,https://lauramilman.com/products/lab-diamond-oval-lariat-necklace-14-37ct-nk14wtsov1400pew
lab-diamond-oval-lariat-necklace-29-55ct-nk14wtsov950pew,Lab Grown Oval Diamond Lariat Necklace – 29.55 CT | 14K White Gold,NK14WTSOV950PEW,Necklace,39150.00,,https://lauramilman.com/products/lab-diamond-oval-lariat-necklace-29-55ct-nk14wtsov950pew
lab-diamond-round-tennis-necklace-15-34ct-nk14wtsrd1500p,Lab Grown Round Diamond Tennis Necklace – 15.34 CT | 14K White Gold,NK14WTSRD1500P,Necklace,13800.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-15-34ct-nk14wtsrd1500p
lab-diamond-round-tennis-necklace-17-12ct-nk14wtsrd1700p,Lab Grown Round Diamond Tennis Necklace – 17.12 CT | 14K White Gold,NK14WTSRD1700P,Necklace,14700.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-17-12ct-nk14wtsrd1700p
lab-diamond-round-tennis-necklace-3-54ct-nk14wtsrd350p,Lab Grown Round Diamond Tennis Necklace – 3.54 CT | 14K White Gold,NK14WTSRD350P,Necklace,8100.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-3-54ct-nk14wtsrd350p
lab-diamond-round-tennis-necklace-4-82ct-nk14wtsrd450p,Lab Grown Round Diamond Tennis Necklace – 4.82 CT | 14K White Gold,NK14WTSRD450P,Necklace,9000.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-4-82ct-nk14wtsrd450p
lab-diamond-round-tennis-necklace-5-35ct-nk14wtsrd500p,Lab Grown Round Diamond Tennis Necklace – 5.35 CT | 14K White Gold,NK14WTSRD500P,Necklace,9750.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-5-35ct-nk14wtsrd500p
lab-diamond-round-tennis-necklace-6-19ct-nk14wtsrd600p,Lab Grown Round Diamond Tennis Necklace – 6.19 CT | 14K White Gold,NK14WTSRD600P,Necklace,10200.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-6-19ct-nk14wtsrd600p
lab-diamond-round-tennis-necklace-6-67ct-nk14wtsrd650b,Lab Grown Round Diamond Tennis Necklace – 6.67 CT | 14K White Gold,NK14WTSRD650B,Necklace,13500.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-6-67ct-nk14wtsrd650b
lab-diamond-round-tennis-necklace-6-59ct-nk14wtsrd650p,Lab Grown Round Diamond Tennis Necklace – 6.59 CT | 14K White Gold,NK14WTSRD650P,Necklace,8550.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-6-59ct-nk14wtsrd650p
lab-diamond-round-tennis-necklace-9-56ct-nk14wtsrd950p,Lab Grown Round Diamond Tennis Necklace – 9.56 CT | 14K White Gold,NK14WTSRD950P,Necklace,13200.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-9-56ct-nk14wtsrd950p
lab-diamond-round-double-strand-station-necklace-7-48ct-nk14ydssrd750p,Lab Grown Round Diamond Double Strand Station Necklace – 7.48 CT | 14K Yellow Gold,NK14YDSSRD750P,Necklace,9150.00,,https://lauramilman.com/products/lab-diamond-round-double-strand-station-necklace-7-48ct-nk14ydssrd750p
lab-diamond-round-pendant-necklace-1-75ct-nk14yrd175p,Lab Grown Round Diamond Pendant Necklace – 1.75 CT | 14K Yellow Gold,NK14YRD175P,Necklace,3450.00,,https://lauramilman.com/products/lab-diamond-round-pendant-necklace-1-75ct-nk14yrd175p
lab-diamond-round-riviera-necklace-5-23ct-nk14yrvrd500p,Lab Grown Round Diamond Riviera Necklace – 5.23 CT | 14K Yellow Gold,NK14YRVRD500P,Necklace,9750.00,,https://lauramilman.com/products/lab-diamond-round-riviera-necklace-5-23ct-nk14yrvrd500p
lab-diamond-round-riviera-necklace-5-53ct-nk14yrvrd550b,Lab Grown Round Diamond Riviera Necklace – 5.53 CT | 14K Yellow Gold,NK14YRVRD550B,Necklace,10800.00,,https://lauramilman.com/products/lab-diamond-round-riviera-necklace-5-53ct-nk14yrvrd550b
lab-diamond-round-riviera-necklace-8-28ct-nk14yrvrd800bns,Lab Grown Round Diamond Riviera Necklace – 8.28 CT | 14K Yellow Gold,NK14YRVRD800BNS,Necklace,15450.00,,https://lauramilman.com/products/lab-diamond-round-riviera-necklace-8-28ct-nk14yrvrd800bns
lab-diamond-round-special-necklace-0-42ct-nk14ysprd25b,Lab Grown Round Diamond Statement Necklace – 0.42 CT | 14K Yellow Gold,NK14YSPRD25B,Necklace,4500.00,,https://lauramilman.com/products/lab-diamond-round-special-necklace-0-42ct-nk14ysprd25b
lab-diamond-round-station-necklace-2-6ct-nk14yst250pns,Lab Grown Round Diamond Station Necklace – 2.6 CT | 14K Yellow Gold,NK14YST250PNS,Necklace,3600.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-2-6ct-nk14yst250pns
lab-diamond-station-necklace-3-16ct-nk14yst300bew,Lab Grown Mixed Shape Diamond Station Necklace – 3.16 CT | 14K Yellow Gold,NK14YST300BEW,Necklace,5550.00,,https://lauramilman.com/products/lab-diamond-station-necklace-3-16ct-nk14yst300bew
lab-diamond-oval-station-necklace-4-61ct-nk14yst450bew,Lab Grown Oval Diamond Station Necklace – 4.61 CT | 14K Yellow Gold,NK14YST450BEW,Necklace,7650.00,,https://lauramilman.com/products/lab-diamond-oval-station-necklace-4-61ct-nk14yst450bew
lab-diamond-round-station-necklace-1-76ct-nk14ystrd175p,Lab Grown Round Diamond Station Necklace – 1.76 CT | 14K Yellow Gold,NK14YSTRD175P,Necklace,2550.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-1-76ct-nk14ystrd175p
lab-diamond-round-station-necklace-2-02ct-nk14ystrd200b,Lab Grown Round Diamond Station Necklace – 2.02 CT | 14K Yellow Gold,NK14YSTRD200B,Necklace,4050.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-2-02ct-nk14ystrd200b
lab-diamond-round-station-necklace-2-84ct-nk14ystrd275b,Lab Grown Round Diamond Station Necklace – 2.84 CT | 14K Yellow Gold,NK14YSTRD275B,Necklace,5400.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-2-84ct-nk14ystrd275b
lab-diamond-round-station-necklace-3-14ct-nk14ystrd300bew,Lab Grown Round Diamond Station Necklace – 3.14 CT | 14K Yellow Gold,NK14YSTRD300BEW,Necklace,5250.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-3-14ct-nk14ystrd300bew
lab-diamond-round-station-necklace-6-4ct-nk14ystrd600p,Lab Grown Round Diamond Station Necklace – 6.4 CT | 14K Yellow Gold,NK14YSTRD600P,Necklace,10200.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-6-4ct-nk14ystrd600p
lab-diamond-marquise-riviera-necklace-5-09ct-nk14ytsmq500bew,Lab Grown Marquise Diamond Riviera Necklace – 5.09 CT | 14K Yellow Gold,NK14YTSMQ500BEW,Necklace,10200.00,,https://lauramilman.com/products/lab-diamond-marquise-riviera-necklace-5-09ct-nk14ytsmq500bew
lab-diamond-round-tennis-necklace-6-81ct-nk14ytsrd650b,Lab Grown Round Diamond Tennis Necklace – 6.81 CT | 14K Yellow Gold,NK14YTSRD650B,Necklace,13650.00,,https://lauramilman.com/products/lab-diamond-round-tennis-necklace-6-81ct-nk14ytsrd650b
lab-diamond-pear-station-necklace-2-63ct-nk18ttstps250p,Lab Grown Pear Diamond Station Necklace – 2.63 CT | 18K Two Tone Gold,NK18TTSTPS250P,Necklace,4200.00,,https://lauramilman.com/products/lab-diamond-pear-station-necklace-2-63ct-nk18ttstps250p
lab-diamond-round-station-necklace-4-91ct-nk18wstrd500p,Lab Grown Round Diamond Station Necklace – 4.91 CT | 18K White Gold,NK18WSTRD500P,Necklace,6300.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-4-91ct-nk18wstrd500p
lab-diamond-round-station-necklace-2-9ct-nk18ystrd275p,Lab Grown Round Diamond Station Necklace – 2.9 CT | 18K Yellow Gold,NK18YSTRD275P,Necklace,6300.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-2-9ct-nk18ystrd275p
lab-diamond-round-station-necklace-9-96ct-nk18ystrd500p,Lab Grown Round Diamond Station Necklace – 9.96 CT | 18K Yellow Gold,NK18YSTRD500P,Necklace,12900.00,,https://lauramilman.com/products/lab-diamond-round-station-necklace-9-96ct-nk18ystrd500p
