Handle,Title,Body (HTML),Vendor,Type,Tags,SEO Title,SEO Description
mens-wedding-band-23,Carved Chevron Wedding Band in 14K Gold,"<p>The Carved Chevron Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Alternating chevrons are carved in a repeating arrowhead sequence around the band, giving it a directional, almost woven look. Polished edges keep the geometry clean.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Chevron</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved chevron relief</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"chevron wedding band,mens wedding band,carved wedding band,geometric ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Carved Chevron Wedding Band for Men | 14K & 18K Gold,"Chevron pattern wedding band carved in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-24,Carved Quatrefoil Wedding Band in 14K Gold,"<p>The Carved Quatrefoil Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Open quatrefoil forms are carved at intervals around an otherwise clean band, giving it a lighter, more graphic feel than the fully patterned styles.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Quatrefoil</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved open motif</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,quatrefoil ring,carved wedding band,clover ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Quatrefoil Wedding Band for Men | 14K & 18K Gold,"Carved quatrefoil wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-25,Celtic Knotwork Wedding Band in 14K Gold,"<p>The Celtic Knotwork Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Full-width Celtic knotwork, carved so the strands genuinely pass over and under one another rather than sitting flat. The most traditional of the Celtic patterns we cut.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Celtic Knotwork</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Deep carved knotwork</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"celtic wedding band,celtic knot ring,mens wedding band,irish wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Celtic Knotwork Wedding Band for Men | 14K & 18K Gold,"Traditional carved Celtic knotwork wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-26,Claddagh Wedding Band in 14K Gold,"<p>The Claddagh Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. The Claddagh, hands holding a crowned heart, repeats around this band alongside supporting Celtic motifs. Friendship, love, and loyalty, carried the traditional Irish way.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Claddagh</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved relief motif</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"claddagh ring,irish wedding band,celtic wedding band,mens wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Claddagh Wedding Band for Men | 14K & 18K Gold,"Carved Claddagh wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-27,Custom Couples Name Wedding Band in 14K Gold,"<p>The Custom Couples Name Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Both names carved around a single band, joined by an ampersand. Cut in raised serif capitals deep into the metal so it holds its edge over a lifetime of wear.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Custom Couples Name</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved relief lettering</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"custom name wedding band,couples ring,personalized wedding band,mens wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Custom Couples Name Wedding Band | 14K & 18K Gold,"Two names carved into one wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-29,Diamond-Cut Floral Wedding Band in 14K Gold,"<p>The Diamond-Cut Floral Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A repeating floral rosette is diamond-cut into a wide satin field, the faceted cuts throwing light in a way carving alone cannot. Bright polished edges finish the profile.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Diamond-Cut Floral</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diamond-cut on satin ground</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"diamond cut wedding band,mens wedding band,floral wedding band,wide wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Diamond-Cut Floral Wedding Band | 14K & 18K Gold,"Wide diamond-cut floral wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-30,Diamond-Cut Lattice Wedding Band in 14K Gold,"<p>The Diamond-Cut Lattice Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A crosshatch lattice is diamond-cut across the full width of the band, every intersection catching light from a different angle. Bright, textural, and considerably more visible than a plain satin band.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Diamond-Cut Lattice</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diamond-cut crosshatch</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"diamond cut wedding band,mens wedding band,crosshatch ring,textured wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Diamond-Cut Lattice Wedding Band | 14K & 18K Gold,"Diamond-cut crosshatch wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-31,Fluted Edge Wedding Band in 14K Gold,"<p>The Fluted Edge Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Fine vertical fluting is cut along both edges of the band, leaving a broad polished dome through the center. The contrast between the ridged borders and the smooth middle does all the work here.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Fluted Edge</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Fluted edges, polished center</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,fluted wedding band,textured wedding band,ribbed ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Fluted Edge Wedding Band for Men | 14K & 18K Gold,"Fluted edge wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-32,Beaded Edge Domed Wedding Band in 14K Gold,"<p>The Beaded Edge Domed Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A domed profile with fine beaded milgrain running along each edge. The most classic shape in the collection, with just enough detail at the borders to keep it from reading plain.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Beaded Edge</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Domed, beaded milgrain edges</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"milgrain wedding band,mens wedding band,domed wedding band,beaded edge ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Beaded Edge Wedding Band for Men | 14K & 18K Gold,"Domed wedding band with beaded milgrain edges in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-33,Faceted Satin Wedding Band in 14K Gold,"<p>The Faceted Satin Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Broad diagonal facets are cut across a satin surface, creating wide planes that shift between light and shadow as the hand turns. Modern, quiet, and heavier-looking than its width suggests.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Faceted Satin</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Faceted satin finish</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,faceted wedding band,satin wedding band,modern mens ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Faceted Satin Wedding Band for Men | 14K & 18K Gold,"Faceted satin wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-34,Diamond-Cut Diagonal Wedding Band in 14K Gold,"<p>The Diamond-Cut Diagonal Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Diagonal fields of fine diamond-cut texture alternate with polished panels, so the band reads bright from one angle and matte from another.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Diamond-Cut Diagonal</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diamond-cut and polished panels</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"diamond cut wedding band,mens wedding band,textured wedding band,diagonal ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Diamond-Cut Diagonal Wedding Band | 14K & 18K Gold,"Diagonal diamond-cut wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-35,Carved Scroll Wedding Band in 14K Gold,"<p>The Carved Scroll Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A flowing scroll pattern is carved across a satin center panel, framed by polished edges. Softer and more ornamental than the knotwork styles.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Carved Scroll</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Carved scroll on satin ground</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,scroll wedding band,carved wedding band,engraved ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Carved Scroll Wedding Band for Men | 14K & 18K Gold,"Carved scroll wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-39,Engraved Paisley Wedding Band in 14K Gold,"<p>The Engraved Paisley Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Fine paisley scrollwork is engraved across the entire surface of this band, dense enough to give it an antique, heirloom quality straight out of the box.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Engraved Paisley</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">All-over engraving</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"engraved wedding band,mens wedding band,paisley ring,vintage wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Engraved Paisley Wedding Band | 14K & 18K Gold,"All-over engraved paisley wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
mens-wedding-band-40,Diagonal Fluted Wedding Band in 14K Gold,"<p>The Diagonal Fluted Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. Continuous diagonal fluting is cut across the full width, creating a spun, machined look with real depth. Bright and directional under any light.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Diagonal Fluted</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diagonal fluting</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"mens wedding band,fluted wedding band,textured wedding band,modern mens ring,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Diagonal Fluted Wedding Band for Men | 14K & 18K Gold,"Diagonal fluted wedding band in 14K or 18K gold. 5mm, made to order in yellow, white, or rose gold."
mens-wedding-band-41,Diamond-Cut Crosshatch Wedding Band in 14K Gold,"<p>The Diamond-Cut Crosshatch Wedding Band is a 5mm men's wedding band in 14K or 18K yellow, white, or rose gold, from $1,500. A tight diamond-cut crosshatch fills the recessed center of this band, bordered by brightly polished rails that lift the texture and protect it from scuffing.</p><h3>Specifications</h3><table><tr><td style=""padding:6px 16px 6px 0""><strong>Band Width</strong></td><td style=""padding:6px 0"">5mm (custom widths by request)</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Pattern</strong></td><td style=""padding:6px 0"">Diamond-Cut Crosshatch</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Finish</strong></td><td style=""padding:6px 0"">Diamond-cut center, polished rails</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Metal Type</strong></td><td style=""padding:6px 0"">14K or 18K yellow, white, or rose gold</td></tr><tr><td style=""padding:6px 16px 6px 0""><strong>Ring Sizes</strong></td><td style=""padding:6px 0"">8.5 to 13</td></tr></table><h3>Choose your metal color</h3><p>Made to order in <strong>14K or 18K yellow, white, or rose gold</strong>. The photograph shows one metal color; every style is cut in all of them. Choose your color at checkout, or message us and we will send a rendering in your color before we cut.</p><h3>14K or 18K: which should you choose?</h3><p>14K gold is 58.3% pure and alloyed with harder metals, which makes it more scratch resistant and the better choice for anyone who works with their hands. 18K is 75% pure, noticeably warmer and deeper in color, and heavier on the finger. It is softer, so it marks more readily over time. On a carved band the extra depth of color in 18K makes the pattern read with more contrast. Both are made to the same tolerances here; the difference is character and durability, not quality.</p>",Laura Milman New York,Rings,"diamond cut wedding band,crosshatch ring,mens wedding band,textured wedding band,14k gold band,Yellow Gold,Rose Gold,Mens Wedding Bands",Diamond-Cut Crosshatch Wedding Band | 14K & 18K Gold,"Crosshatch diamond-cut wedding band in 14K or 18K gold. Made to order in yellow, white, or rose gold."
